"Sprache","QuarSort","QuarLang","AnzBev","untAnzBevKI","obAnzBevKI"
"Deutsch",11,"Rathaus",1980,1880,2090
"Deutsch",12,"Hochschulen",220,190,260
"Deutsch",13,"Lindenhof",740,680,800
"Deutsch",14,"City",520,470,570
"Deutsch",21,"Wollishofen",14330,14080,14590
"Deutsch",23,"Leimbach",4960,4800,5120
"Deutsch",24,"Enge",7260,7050,7470
"Deutsch",31,"Alt-Wiedikon",11960,11690,12240
"Deutsch",33,"Friesenberg",8720,8560,8880
"Deutsch",34,"Sihlfeld",15020,14730,15300
"Deutsch",41,"Werd",3110,2980,3240
"Deutsch",42,"Langstrasse",6360,6160,6550
"Deutsch",44,"Hard",7710,7480,7940
"Deutsch",51,"Gewerbeschule",6380,6180,6570
"Deutsch",52,"Escher Wyss",4750,4610,4890
"Deutsch",61,"Unterstrass",18760,18470,19050
"Deutsch",63,"Oberstrass",8210,8020,8390
"Deutsch",71,"Fluntern",5800,5640,5960
"Deutsch",72,"Hottingen",8500,8310,8690
"Deutsch",73,"Hirslanden",5330,5180,5470
"Deutsch",74,"Witikon",8800,8620,8980
"Deutsch",81,"Seefeld",3270,3130,3410
"Deutsch",82,"Mühlebach",4640,4480,4800
"Deutsch",83,"Weinegg",3690,3550,3820
"Deutsch",91,"Albisrieden",16910,16640,17190
"Deutsch",92,"Altstetten",21500,21140,21860
"Deutsch",101,"Höngg",19260,19020,19490
"Deutsch",102,"Wipkingen",12390,12160,12610
"Deutsch",111,"Affoltern",18970,18640,19300
"Deutsch",115,"Oerlikon",15060,14740,15370
"Deutsch",119,"Seebach",16340,16020,16670
"Deutsch",121,"Saatlen",6870,6700,7040
"Deutsch",122,"Schwamendingen-Mitte",6830,6620,7040
"Deutsch",123,"Hirzenbach",7680,7460,7900
"Englisch",11,"Rathaus",510,410,610
"Englisch",12,"Hochschulen",80,40,110
"Englisch",13,"Lindenhof",150,90,200
"Englisch",14,"City",140,90,190
"Englisch",21,"Wollishofen",2240,2020,2450
"Englisch",23,"Leimbach",530,430,640
"Englisch",24,"Enge",1780,1600,1970
"Englisch",31,"Alt-Wiedikon",1970,1760,2180
"Englisch",33,"Friesenberg",510,400,610
"Englisch",34,"Sihlfeld",2060,1840,2280
"Englisch",41,"Werd",480,370,580
"Englisch",42,"Langstrasse",1090,930,1250
"Englisch",44,"Hard",930,780,1070
"Englisch",51,"Gewerbeschule",800,660,950
"Englisch",52,"Escher Wyss",810,680,950
"Englisch",61,"Unterstrass",2320,2100,2550
"Englisch",63,"Oberstrass",1330,1170,1500
"Englisch",71,"Fluntern",1210,1050,1370
"Englisch",72,"Hottingen",1490,1310,1660
"Englisch",73,"Hirslanden",830,700,960
"Englisch",74,"Witikon",1340,1180,1500
"Englisch",81,"Seefeld",900,760,1030
"Englisch",82,"Mühlebach",940,790,1080
"Englisch",83,"Weinegg",750,620,880
"Englisch",91,"Albisrieden",1330,1150,1500
"Englisch",92,"Altstetten",2440,2200,2670
"Englisch",101,"Höngg",1900,1700,2090
"Englisch",102,"Wipkingen",1340,1160,1510
"Englisch",111,"Affoltern",2140,1940,2350
"Englisch",115,"Oerlikon",2510,2270,2750
"Englisch",119,"Seebach",2490,2270,2720
"Englisch",121,"Saatlen",520,420,620
"Englisch",122,"Schwamendingen-Mitte",760,630,880
"Englisch",123,"Hirzenbach",770,630,900
"Französisch",11,"Rathaus",130,80,190
"Französisch",12,"Hochschulen",,,
"Französisch",13,"Lindenhof",70,30,110
"Französisch",14,"City",70,30,110
"Französisch",21,"Wollishofen",670,560,790
"Französisch",23,"Leimbach",300,220,370
"Französisch",24,"Enge",790,650,920
"Französisch",31,"Alt-Wiedikon",780,650,900
"Französisch",33,"Friesenberg",320,240,390
"Französisch",34,"Sihlfeld",890,740,1040
"Französisch",41,"Werd",210,150,280
"Französisch",42,"Langstrasse",400,290,500
"Französisch",44,"Hard",410,300,510
"Französisch",51,"Gewerbeschule",370,270,470
"Französisch",52,"Escher Wyss",330,250,400
"Französisch",61,"Unterstrass",1170,1020,1330
"Französisch",63,"Oberstrass",530,440,630
"Französisch",71,"Fluntern",760,640,880
"Französisch",72,"Hottingen",850,720,970
"Französisch",73,"Hirslanden",350,260,440
"Französisch",74,"Witikon",760,640,880
"Französisch",81,"Seefeld",350,260,430
"Französisch",82,"Mühlebach",420,330,520
"Französisch",83,"Weinegg",260,180,340
"Französisch",91,"Albisrieden",650,530,770
"Französisch",92,"Altstetten",1010,870,1160
"Französisch",101,"Höngg",910,780,1050
"Französisch",102,"Wipkingen",580,470,690
"Französisch",111,"Affoltern",780,650,910
"Französisch",115,"Oerlikon",1050,890,1200
"Französisch",119,"Seebach",810,680,940
"Französisch",121,"Saatlen",180,120,230
"Französisch",122,"Schwamendingen-Mitte",280,200,350
"Französisch",123,"Hirzenbach",290,210,360
"Italienisch",11,"Rathaus",180,120,240
"Italienisch",12,"Hochschulen",10,0,30
"Italienisch",13,"Lindenhof",50,20,80
"Italienisch",14,"City",50,20,80
"Italienisch",21,"Wollishofen",960,820,1090
"Italienisch",23,"Leimbach",300,220,380
"Italienisch",24,"Enge",510,410,610
"Italienisch",31,"Alt-Wiedikon",840,700,980
"Italienisch",33,"Friesenberg",500,410,600
"Italienisch",34,"Sihlfeld",970,820,1110
"Italienisch",41,"Werd",160,100,220
"Italienisch",42,"Langstrasse",600,480,720
"Italienisch",44,"Hard",980,820,1130
"Italienisch",51,"Gewerbeschule",630,520,740
"Italienisch",52,"Escher Wyss",220,150,280
"Italienisch",61,"Unterstrass",1010,860,1160
"Italienisch",63,"Oberstrass",450,350,550
"Italienisch",71,"Fluntern",280,210,360
"Italienisch",72,"Hottingen",420,330,510
"Italienisch",73,"Hirslanden",310,220,400
"Italienisch",74,"Witikon",420,330,500
"Italienisch",81,"Seefeld",220,140,290
"Italienisch",82,"Mühlebach",300,210,390
"Italienisch",83,"Weinegg",280,200,360
"Italienisch",91,"Albisrieden",1600,1420,1770
"Italienisch",92,"Altstetten",2460,2230,2680
"Italienisch",101,"Höngg",1000,860,1140
"Italienisch",102,"Wipkingen",700,570,820
"Italienisch",111,"Affoltern",1750,1570,1930
"Italienisch",115,"Oerlikon",1670,1480,1860
"Italienisch",119,"Seebach",1450,1270,1620
"Italienisch",121,"Saatlen",560,460,650
"Italienisch",122,"Schwamendingen-Mitte",660,550,780
"Italienisch",123,"Hirzenbach",870,740,1010
