T_21,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
1999,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 360 704, 255 185, 105 519,  29.3
Kreis 1, 5 872, 4 653, 1 219,  20.8
Rathaus, 3 104, 2 529,  575,  18.5
Hochschulen,  769,  583,  186,  24.2
Lindenhof, 1 032,  854,  178,  17.2
City,  967,  687,  280,  29.0
Kreis 2, 28 680, 22 258, 6 422,  22.4
Wollishofen, 15 896, 12 390, 3 506,  22.1
Leimbach, 4 650, 3 694,  956,  20.6
Enge, 8 134, 6 174, 1 960,  24.1
Kreis 3, 45 899, 30 788, 15 111,  32.9
Alt-Wiedikon, 14 889, 9 784, 5 105,  34.3
Friesenberg, 10 013, 7 885, 2 128,  21.3
Sihlfeld, 20 997, 13 119, 7 878,  37.5
Kreis 4, 27 287, 15 236, 12 051,  44.2
Werd, 3 966, 2 532, 1 434,  36.2
Langstrasse, 10 370, 6 020, 4 350,  41.9
Hard, 12 951, 6 684, 6 267,  48.4
Kreis 5, 11 547, 6 477, 5 070,  43.9
Gewerbeschule, 9 594, 5 298, 4 296,  44.8
Escher Wyss, 1 953, 1 179,  774,  39.6
Kreis 6, 29 980, 23 307, 6 673,  22.3
Unterstrass, 20 083, 15 581, 4 502,  22.4
Oberstrass, 9 897, 7 726, 2 171,  21.9
Kreis 7, 33 996, 27 688, 6 308,  18.6
Fluntern, 7 298, 5 836, 1 462,  20.0
Hottingen, 10 307, 8 173, 2 134,  20.7
Hirslanden, 6 837, 5 575, 1 262,  18.5
Witikon, 9 554, 8 104, 1 450,  15.2
Kreis 8, 15 296, 11 728, 3 568,  23.3
Seefeld, 4 969, 3 775, 1 194,  24.0
Mühlebach, 5 527, 4 389, 1 138,  20.6
Weinegg, 4 800, 3 564, 1 236,  25.8
Kreis 9, 44 269, 30 421, 13 848,  31.3
Albisrieden, 16 341, 12 643, 3 698,  22.6
Altstetten, 27 928, 17 778, 10 150,  36.3
Kreis 10, 36 090, 27 171, 8 919,  24.7
Höngg, 20 559, 16 756, 3 803,  18.5
Wipkingen, 15 531, 10 415, 5 116,  32.9
Kreis 11, 53 725, 36 761, 16 964,  31.6
Affoltern, 18 468, 13 322, 5 146,  27.9
Oerlikon, 17 368, 11 516, 5 852,  33.7
Seebach, 17 889, 11 923, 5 966,  33.4
Kreis 12, 28 063, 18 697, 9 366,  33.4
Saatlen, 6 554, 4 702, 1 852,  28.3
Schwamendingen-Mitte, 10 390, 6 478, 3 912,  37.7
Hirzenbach, 11 119, 7 517, 3 602,  32.4